,0
0,9.0
1,10.0
2,10.0
3,10.0
4,10.0
5,9.0
6,9.0
7,10.0
8,10.0
9,10.0
10,12.0
11,11.0
12,10.0
13,14.0
14,39.0
15,9.0
16,9.0
17,11.0
18,10.0
19,9.0
20,9.0
21,10.0
22,8.0
23,13.0
24,9.0
25,8.0
26,9.0
27,10.0
28,8.0
29,12.0
30,9.0
31,10.0
32,13.0
33,10.0
34,20.0
35,12.0
36,11.0
37,29.0
38,9.0
39,9.0
40,10.0
41,12.0
42,10.0
43,10.0
44,12.0
45,9.0
46,10.0
47,11.0
48,10.0
49,9.0
50,13.0
51,14.0
52,12.0
53,14.0
54,12.0
55,12.0
56,15.0
57,14.0
58,17.0
59,11.0
60,10.0
61,13.0
62,13.0
63,11.0
64,27.0
65,11.0
66,10.0
67,12.0
68,14.0
69,14.0
70,12.0
71,12.0
72,12.0
73,10.0
74,10.0
75,12.0
76,12.0
77,11.0
78,12.0
79,11.0
80,14.0
81,14.0
82,13.0
83,14.0
84,15.0
85,13.0
86,14.0
87,14.0
88,10.0
89,11.0
90,13.0
91,11.0
92,11.0
93,9.0
94,9.0
95,13.0
96,14.0
97,9.0
98,12.0
99,9.0
100,8.0
101,8.0
102,10.0
103,10.0
104,10.0
105,26.0
106,9.0
107,13.0
108,30.0
109,24.0
110,10.0
111,26.0
112,11.0
113,13.0
114,14.0
115,10.0
116,12.0
117,10.0
118,26.0
119,28.0
120,9.0
121,9.0
122,8.0
123,15.0
124,26.0
125,26.0
126,26.0
127,24.0
128,42.0
129,10.0
130,12.0
131,35.0
132,12.0
133,32.0
134,41.0
135,34.0
136,41.0
137,59.0
138,41.0
139,16.0
140,47.0
141,57.0
142,95.0
143,62.0
144,50.0
145,46.0
146,78.0
147,246.0
148,140.0
149,64.0
150,157.0
151,99.0
152,101.0
153,132.0
154,165.0
155,99.0
156,182.0
157,85.0
158,165.0
159,76.0
160,112.0
161,114.0
162,130.0
163,135.0
164,214.0
165,145.0
166,289.0
167,101.0
168,158.0
169,183.0
170,133.0
171,326.0
172,129.0
173,170.0
174,111.0
175,68.0
176,67.0
177,397.0
178,61.0
179,156.0
180,61.0
181,109.0
182,279.0
183,184.0
184,88.0
185,109.0
186,118.0
187,66.0
188,100.0
189,117.0
190,99.0
191,101.0
192,84.0
193,123.0
194,140.0
195,96.0
196,97.0
197,122.0
198,74.0
199,102.0
200,103.0
201,407.0
202,106.0
203,152.0
204,122.0
205,117.0
206,106.0
207,129.0
208,103.0
209,113.0
210,101.0
211,334.0
212,149.0
213,234.0
214,137.0
215,500.0
216,360.0
217,500.0
218,500.0
219,351.0
220,362.0
221,374.0
222,500.0
223,500.0
224,500.0
225,500.0
226,207.0
227,500.0
228,286.0
229,500.0
230,500.0
231,58.0
232,140.0
233,500.0
234,500.0
235,218.0
236,281.0
237,341.0
238,274.0
239,244.0
240,150.0
241,97.0
242,172.0
243,104.0
244,141.0
245,153.0
246,187.0
247,189.0
248,151.0
249,153.0
250,167.0
251,169.0
252,105.0
253,140.0
254,109.0
255,179.0
256,135.0
257,129.0
258,170.0
259,180.0
260,157.0
261,77.0
262,152.0
263,167.0
264,216.0
265,141.0
266,135.0
267,196.0
268,266.0
269,154.0
270,139.0
271,149.0
272,146.0
273,159.0
274,162.0
275,155.0
276,152.0
277,363.0
278,157.0
279,380.0
280,500.0
281,500.0
282,495.0
283,472.0
284,500.0
285,342.0
286,281.0
287,179.0
288,181.0
289,306.0
290,199.0
291,302.0
292,146.0
293,80.0
294,286.0
295,253.0
296,347.0
297,283.0
298,301.0
299,382.0
