,0
0,11.0
1,9.0
2,10.0
3,12.0
4,9.0
5,9.0
6,10.0
7,10.0
8,9.0
9,9.0
10,10.0
11,11.0
12,10.0
13,29.0
14,10.0
15,9.0
16,16.0
17,10.0
18,10.0
19,11.0
20,10.0
21,9.0
22,10.0
23,10.0
24,9.0
25,11.0
26,10.0
27,21.0
28,11.0
29,10.0
30,9.0
31,10.0
32,10.0
33,9.0
34,11.0
35,13.0
36,10.0
37,10.0
38,10.0
39,9.0
40,11.0
41,11.0
42,11.0
43,11.0
44,10.0
45,11.0
46,10.0
47,11.0
48,18.0
49,9.0
50,18.0
51,11.0
52,8.0
53,9.0
54,9.0
55,18.0
56,27.0
57,10.0
58,23.0
59,74.0
60,15.0
61,31.0
62,66.0
63,122.0
64,85.0
65,102.0
66,54.0
67,136.0
68,65.0
69,98.0
70,69.0
71,136.0
72,217.0
73,87.0
74,76.0
75,122.0
76,126.0
77,116.0
78,133.0
79,251.0
80,156.0
81,161.0
82,150.0
83,145.0
84,147.0
85,124.0
86,165.0
87,117.0
88,132.0
89,138.0
90,127.0
91,76.0
92,205.0
93,103.0
94,128.0
95,344.0
96,186.0
97,152.0
98,374.0
99,268.0
100,325.0
101,252.0
102,158.0
103,287.0
104,234.0
105,118.0
106,145.0
107,317.0
108,242.0
109,206.0
110,261.0
111,164.0
112,139.0
113,125.0
114,214.0
115,135.0
116,253.0
117,270.0
118,162.0
119,60.0
120,126.0
121,252.0
122,102.0
123,250.0
124,148.0
125,118.0
126,233.0
127,70.0
128,270.0
129,232.0
130,156.0
131,246.0
132,163.0
133,280.0
134,208.0
135,85.0
136,53.0
137,173.0
138,208.0
139,139.0
140,184.0
141,68.0
142,147.0
143,78.0
144,179.0
145,203.0
146,209.0
147,189.0
148,220.0
149,188.0
150,295.0
151,146.0
152,140.0
153,155.0
154,142.0
155,164.0
156,131.0
157,152.0
158,171.0
159,155.0
160,152.0
161,140.0
162,167.0
163,76.0
164,83.0
165,143.0
166,80.0
167,148.0
168,145.0
169,158.0
170,220.0
171,139.0
172,127.0
173,167.0
174,137.0
175,49.0
176,138.0
177,133.0
178,49.0
179,45.0
180,131.0
181,168.0
182,173.0
183,190.0
184,178.0
185,347.0
186,233.0
187,189.0
188,162.0
189,185.0
190,146.0
191,316.0
192,165.0
193,178.0
194,191.0
195,177.0
196,256.0
197,234.0
198,160.0
199,163.0
200,231.0
201,167.0
202,177.0
203,212.0
204,228.0
205,124.0
206,294.0
207,234.0
208,244.0
209,151.0
210,237.0
211,139.0
212,471.0
213,500.0
214,227.0
215,220.0
216,313.0
217,409.0
218,268.0
219,196.0
220,468.0
221,500.0
222,229.0
223,211.0
224,334.0
225,458.0
226,355.0
227,220.0
228,90.0
229,181.0
230,73.0
231,478.0
232,198.0
233,256.0
234,274.0
235,389.0
236,317.0
237,363.0
238,269.0
239,250.0
240,304.0
241,191.0
242,218.0
243,218.0
244,291.0
245,500.0
246,221.0
247,180.0
248,285.0
249,42.0
250,79.0
251,341.0
252,222.0
253,163.0
254,162.0
255,153.0
256,282.0
257,145.0
258,377.0
259,216.0
260,133.0
261,219.0
262,196.0
263,64.0
264,151.0
265,178.0
266,139.0
267,208.0
268,153.0
269,136.0
270,283.0
271,135.0
272,25.0
273,164.0
274,134.0
275,152.0
276,500.0
277,500.0
278,148.0
279,142.0
280,208.0
281,500.0
282,426.0
283,500.0
284,33.0
285,143.0
286,409.0
287,24.0
288,89.0
289,211.0
290,245.0
291,76.0
292,275.0
293,266.0
294,171.0
295,323.0
296,272.0
297,345.0
298,500.0
299,42.0
