,0
0,13.0
1,10.0
2,10.0
3,11.0
4,13.0
5,9.0
6,10.0
7,13.0
8,9.0
9,9.0
10,12.0
11,9.0
12,18.0
13,13.0
14,15.0
15,10.0
16,14.0
17,12.0
18,10.0
19,11.0
20,10.0
21,12.0
22,9.0
23,11.0
24,10.0
25,10.0
26,10.0
27,12.0
28,9.0
29,11.0
30,9.0
31,10.0
32,9.0
33,11.0
34,10.0
35,18.0
36,9.0
37,9.0
38,16.0
39,9.0
40,10.0
41,17.0
42,11.0
43,22.0
44,32.0
45,28.0
46,28.0
47,33.0
48,23.0
49,31.0
50,33.0
51,36.0
52,61.0
53,41.0
54,25.0
55,39.0
56,29.0
57,32.0
58,37.0
59,36.0
60,30.0
61,29.0
62,61.0
63,56.0
64,61.0
65,91.0
66,34.0
67,33.0
68,49.0
69,52.0
70,47.0
71,45.0
72,35.0
73,62.0
74,132.0
75,61.0
76,27.0
77,59.0
78,116.0
79,38.0
80,85.0
81,67.0
82,81.0
83,47.0
84,35.0
85,36.0
86,179.0
87,64.0
88,81.0
89,239.0
90,39.0
91,41.0
92,107.0
93,147.0
94,87.0
95,183.0
96,29.0
97,156.0
98,109.0
99,143.0
100,196.0
101,63.0
102,81.0
103,78.0
104,75.0
105,184.0
106,26.0
107,39.0
108,26.0
109,39.0
110,172.0
111,28.0
112,250.0
113,164.0
114,95.0
115,28.0
116,28.0
117,114.0
118,103.0
119,41.0
120,27.0
121,174.0
122,206.0
123,28.0
124,178.0
125,26.0
126,24.0
127,138.0
128,53.0
129,150.0
130,72.0
131,58.0
132,89.0
133,105.0
134,104.0
135,29.0
136,194.0
137,28.0
138,112.0
139,61.0
140,119.0
141,198.0
142,91.0
143,261.0
144,130.0
145,25.0
146,218.0
147,136.0
148,168.0
149,163.0
150,42.0
151,29.0
152,39.0
153,183.0
154,152.0
155,26.0
156,165.0
157,171.0
158,124.0
159,66.0
160,160.0
161,188.0
162,194.0
163,286.0
164,196.0
165,276.0
166,250.0
167,216.0
168,194.0
169,255.0
170,232.0
171,208.0
172,177.0
173,145.0
174,189.0
175,217.0
176,206.0
177,158.0
178,251.0
179,189.0
180,206.0
181,200.0
182,221.0
183,218.0
184,222.0
185,262.0
186,233.0
187,15.0
188,217.0
189,23.0
190,256.0
191,231.0
192,171.0
193,194.0
194,241.0
195,220.0
196,190.0
197,222.0
198,221.0
199,195.0
200,314.0
201,235.0
202,158.0
203,282.0
204,317.0
205,215.0
206,355.0
207,286.0
208,24.0
209,307.0
210,200.0
211,120.0
212,173.0
213,42.0
214,500.0
215,193.0
216,106.0
217,66.0
218,235.0
219,311.0
220,204.0
221,196.0
222,217.0
223,72.0
224,213.0
225,45.0
226,235.0
227,281.0
228,220.0
229,205.0
230,184.0
231,201.0
232,24.0
233,204.0
234,189.0
235,22.0
236,215.0
237,176.0
238,167.0
239,169.0
240,217.0
241,74.0
242,185.0
243,294.0
244,16.0
245,37.0
246,86.0
247,257.0
248,175.0
249,40.0
250,43.0
251,257.0
252,44.0
253,177.0
254,246.0
255,44.0
256,339.0
257,154.0
258,10.0
259,169.0
260,51.0
261,38.0
262,228.0
263,60.0
264,150.0
265,224.0
266,142.0
267,198.0
268,216.0
269,220.0
270,189.0
271,187.0
272,121.0
273,68.0
274,43.0
275,199.0
276,217.0
277,203.0
278,100.0
279,254.0
280,224.0
281,256.0
282,67.0
283,380.0
284,152.0
285,187.0
286,132.0
287,225.0
288,31.0
289,193.0
290,52.0
291,26.0
292,46.0
293,44.0
294,203.0
295,47.0
296,44.0
297,192.0
298,256.0
299,144.0
300,86.0
301,97.0
302,31.0
303,132.0
304,50.0
305,44.0
306,27.0
307,46.0
308,75.0
309,86.0
310,112.0
311,50.0
312,129.0
313,92.0
314,302.0
315,30.0
316,55.0
317,192.0
318,46.0
319,30.0
320,263.0
321,87.0
322,159.0
323,51.0
324,30.0
325,181.0
326,244.0
327,272.0
328,197.0
329,55.0
330,10.0
331,32.0
332,500.0
333,216.0
334,27.0
335,30.0
336,252.0
337,49.0
338,103.0
339,28.0
340,72.0
341,28.0
342,500.0
343,49.0
344,139.0
345,207.0
346,51.0
347,110.0
348,167.0
349,270.0
350,50.0
351,168.0
352,29.0
353,89.0
354,84.0
355,69.0
356,67.0
357,203.0
358,100.0
359,246.0
360,500.0
361,56.0
362,52.0
363,218.0
364,180.0
